id,name,detail
skydom,ファータ・グランデ空域,法塔・格蘭德空域
skydom,ナル・グランデ空域,納爾・格蘭德空域
10001,贊克汀澤,時光悠然流逝的起始之島<br>蒼之少女的出現結束了安寧<br>啟程駛向空之彼方，約定之地
20001,微風港群島,文化和經濟交流的中心島嶼<br>溫和的微風與熟練的騎空士匯聚於此
20002,巴爾茲公國,工業重地同時也是多拉夫族聚集的島嶼<br>洶湧的岩漿在銹紅色的地表持續流動
20003,奧古斯提列島,整個島嶼漂浮在被稱為“海洋”的水潭之上<br>湛藍的水面上倒映著守護神利維坦的身影
20004,露瑪茜群島,被遺忘的森林在這座島上靜靜呼吸<br>翠綠的森林輕柔地包裹著被遺忘的歷史
20005,城砦都市阿爾比昂,騎士之城，因培養出了優秀的騎士<br>而名滿天下。即使你有稱霸空域的雄心壯志，<br>也將在這裡學會隱忍和退讓
20006,環霧之島,一個被奇異之霧所籠罩的島嶼。一切的一切<br>甚至連真相本身，都被濃霧消去了踪影
20007,加隆佐島,一個讓騎空士們放鬆休息的小島。但是要注意，<br>安逸和溫柔可能會變成阻礙你前進的桎梏
20008,阿瑪提亞島,司掌秩序與規律之島。秩序使<br>世界充滿了善，同時也不可避免地結出了惡
20009,舊王都美佛拉修,一個隱藏了史實和真相的島嶼。過去的<br>歷史彷彿明燈一般照亮了現在前進的道路
20011,王都阿加斯蒂亞,帝國繁榮的象徵。在破碎的<br>歷史陰影下，隱藏著惡魔的嗤笑
20012,戴達羅伊德島鏈,和其他空域相連的島嶼<br>儘管七曜騎士都是這座島嶼的管理者<br>但他們對於正義的理解卻各不相同
20014,北方荒原 白風之境,空域的最北端是一個終年積雪的島嶼<br>一位少年的命運史詩將在這裡徐徐展開
21001,美克馬爾島,矗立著歪斜的城砦的島嶼<br>傷痕傳達著失去的星的相剋。
21002,古洛斯島,享受著滿溢的恩惠的島嶼<br>勇士們聚集在偉大的王的身邊。
21003,克爾加島,繼承了賢者的教誨的島嶼<br>教義的奧義一脈相承。
21004,貝斯提耶島,獸群侍奉著百獸之母的島嶼<br>人們稱呼從母親處獨立的行為為成長。
21005,萊耶島,被星約定了繁榮的島嶼。 <br>其燦爛奪目的興隆的陰影中潛伏著黑暗。
21006,修提克島,在圍繞力量的謀略中沉沒的島嶼。 <br>儘管抱有喪失，人們還是要前進。
21007,境界的世界,漂浮在境界中的福音之地。 <br>糾纏的宿命詢問著覺悟。